tempo,ax,ay,az,acao
706.0,-6.17,6.23,-3.52,bebendo
708.0,-6.16,6.23,-3.55,bebendo
710.0,-6.18,6.23,-3.58,bebendo
712.0,-6.18,6.22,-3.55,bebendo
714.0,-6.16,6.23,-3.56,bebendo
716.0,-6.18,6.23,-3.56,bebendo
718.0,-6.18,6.23,-3.55,bebendo
720.0,-6.17,6.22,-3.56,bebendo
722.0,-6.16,6.24,-3.56,bebendo
724.0,-6.18,6.25,-3.58,bebendo
726.0,-6.19,6.22,-3.56,bebendo
728.0,-6.16,6.22,-3.56,bebendo
776.0,-6.18,6.23,-3.54,comendo
778.0,-6.16,6.22,-3.56,comendo
780.0,-6.17,6.21,-3.51,comendo
782.0,-6.19,6.24,-3.54,comendo
784.0,-6.16,6.24,-3.57,comendo
786.0,-6.19,6.22,-3.53,comendo
788.0,-6.2,6.22,-3.55,comendo
790.0,-6.16,6.22,-3.6,comendo
792.0,-6.17,6.25,-3.54,comendo
794.0,-6.15,6.26,-3.58,comendo
796.0,-6.19,6.21,-3.6,comendo
798.0,-6.17,6.21,-3.55,comendo
800.0,-6.16,6.24,-3.56,comendo
802.0,-6.19,6.24,-3.55,comendo
804.0,-6.17,6.23,-3.57,comendo
806.0,-6.17,6.22,-3.55,comendo
808.0,-6.21,6.25,-3.56,comendo
810.0,-6.17,6.26,-3.51,comendo
812.0,-6.14,6.25,-3.57,comendo
814.0,-6.17,6.27,-3.56,comendo
816.0,-6.19,6.21,-3.6,comendo
818.0,-6.18,6.22,-3.57,comendo
820.0,-6.19,6.22,-3.57,comendo
822.0,-6.15,6.24,-3.58,comendo
824.0,-6.18,6.24,-3.51,comendo
826.0,-6.17,6.23,-3.58,comendo
828.0,-6.16,6.25,-3.55,comendo
830.0,-6.17,6.26,-3.55,comendo
832.0,-6.21,6.21,-3.55,comendo
834.0,-6.19,6.22,-3.56,comendo
836.0,-6.15,6.23,-3.61,comendo
838.0,-6.17,6.27,-3.49,comendo
840.0,-6.17,6.23,-3.61,comendo
842.0,-6.18,6.24,-3.54,comendo
844.0,-6.18,6.22,-3.59,comendo
846.0,-6.17,6.23,-3.55,comendo
848.0,-6.17,6.22,-3.57,comendo
850.0,-6.16,6.22,-3.57,comendo
852.0,-6.19,6.24,-3.53,comendo
854.0,-6.18,6.22,-3.58,comendo
856.0,-6.17,6.24,-3.53,comendo
858.0,-6.17,6.23,-3.57,comendo
860.0,-6.17,6.23,-3.54,comendo
862.0,-6.17,6.21,-3.56,comendo
864.0,-6.19,6.23,-3.53,comendo
866.0,-6.15,6.25,-3.58,comendo
868.0,-6.17,6.24,-3.53,comendo
870.0,-6.19,6.22,-3.54,comendo
872.0,-6.19,6.23,-3.57,comendo
874.0,-6.17,6.24,-3.56,comendo
876.0,-6.19,6.22,-3.55,comendo
878.0,-6.18,6.24,-3.53,comendo
880.0,-6.17,6.22,-3.56,comendo
882.0,-6.19,6.25,-3.55,comendo
884.0,-6.18,6.23,-3.55,comendo
886.0,-6.17,6.24,-3.59,comendo
888.0,-6.16,6.23,-3.56,comendo
890.0,-6.17,6.27,-3.55,comendo
892.0,-6.17,6.23,-3.54,comendo
894.0,-6.17,6.22,-3.57,comendo
896.0,-6.19,6.22,-3.56,comendo
898.0,-6.18,6.23,-3.55,comendo
900.0,-6.17,6.23,-3.55,comendo
902.0,-6.18,6.23,-3.58,comendo
904.0,-6.17,6.23,-3.58,comendo
906.0,-6.17,6.24,-3.57,comendo
908.0,-6.18,6.23,-3.57,comendo
910.0,-6.18,6.23,-3.55,comendo
912.0,-6.18,6.23,-3.52,comendo
914.0,-6.18,6.24,-3.58,comendo
916.0,-6.2,6.22,-3.57,comendo
918.0,-6.18,6.23,-3.57,comendo
920.0,-6.19,6.22,-3.57,comendo
922.0,-6.16,6.21,-3.54,comendo
924.0,-6.17,6.22,-3.54,comendo
926.0,-6.17,6.24,-3.59,comendo
928.0,-6.17,6.24,-3.56,comendo
930.0,-6.19,6.23,-3.57,comendo
932.0,-6.17,6.24,-3.55,comendo
934.0,-6.17,6.22,-3.59,comendo
936.0,-6.17,6.25,-3.55,comendo
938.0,-6.2,6.25,-3.57,comendo
940.0,-6.2,6.22,-3.57,comendo
942.0,-6.18,6.21,-3.58,comendo
944.0,-6.19,6.23,-3.56,comendo
946.0,-6.17,6.24,-3.59,comendo
948.0,-6.17,6.24,-3.56,comendo
950.0,-6.18,6.22,-3.56,comendo
952.0,-6.17,6.23,-3.57,comendo
954.0,-6.17,6.22,-3.56,comendo
956.0,-6.18,6.22,-3.58,comendo
958.0,-6.17,6.25,-3.56,comendo
960.0,-6.16,6.24,-3.6,comendo
962.0,-6.18,6.24,-3.58,comendo
964.0,-6.16,6.23,-3.61,comendo
